,chestcircumference,waistcircumference,weightkg,stature,t_shirt_size
880,960,898,828,1746,3
881,983,852,740,1688,3
882,976,920,765,1606,3
883,1029,1047,852,1658,4
884,915,904,671,1590,3
885,922,875,760,1781,3
886,992,850,695,1690,3
887,1015,987,754,1654,4
888,945,870,663,1583,3
889,843,743,480,1523,2
890,1096,910,830,1685,4
891,974,964,756,1672,3
892,1032,934,784,1641,4
893,882,780,594,1644,2
894,1013,951,766,1597,3
895,899,795,678,1732,2
896,847,815,517,1529,2
897,953,848,662,1620,3
898,993,797,665,1643,3
899,897,927,613,1556,3
900,1015,986,729,1630,4
901,924,884,701,1614,3
902,737,673,426,1464,1
903,962,810,729,1749,3
904,998,933,761,1618,3
905,937,995,719,1631,4
906,1004,966,794,1704,3
907,924,874,705,1669,3
908,1023,1013,727,1586,4
909,887,735,609,1602,2
910,950,1072,800,1620,4
911,917,834,625,1575,2
912,1052,1065,768,1513,4
913,868,818,578,1573,2
914,861,828,639,1649,2
915,980,945,749,1657,3
916,945,900,650,1538,3
917,857,831,633,1684,2
918,885,822,526,1550,2
919,994,1021,766,1630,4
920,1202,1157,934,1693,5
921,982,861,667,1557,3
922,882,765,622,1627,2
923,1208,1085,942,1666,5
924,930,880,641,1599,3
925,985,1012,692,1547,4
926,922,831,646,1636,3
927,889,797,525,1547,2
928,792,762,490,1629,2
929,997,922,749,1560,3
930,1051,1035,852,1751,4
931,908,1012,772,1625,4
932,964,864,643,1573,3
933,980,962,722,1599,3
934,972,914,693,1547,3
935,921,862,737,1735,3
936,1003,957,725,1670,3
937,1035,897,816,1678,4
938,863,812,570,1604,2
939,939,865,660,1631,3
940,980,1054,804,1684,4
941,1030,973,852,1715,4
942,1035,947,662,1635,4
943,933,902,706,1666,3
944,860,782,577,1705,2
945,873,755,526,1629,2
946,976,990,808,1718,4
947,1003,972,834,1626,3
948,951,922,750,1616,3
949,924,895,619,1602,3
950,966,885,675,1667,3
951,1022,910,702,1645,3
952,947,827,659,1670,3
953,941,840,712,1621,3
954,1066,1032,1028,1721,4
955,1091,903,759,1606,4
956,953,875,659,1567,3
957,904,790,644,1720,2
958,900,875,689,1639,3
959,1013,983,863,1730,4
960,1147,1139,949,1682,5
961,874,792,630,1720,2
962,1214,1133,1069,1783,5
963,893,881,639,1641,3
964,902,907,683,1568,3
965,940,850,630,1640,3
966,989,945,718,1556,3
967,1033,1069,874,1647,4
968,995,920,752,1630,3
969,1154,1095,852,1587,5
970,1172,1039,827,1627,5
971,870,765,559,1638,2
972,1110,1042,821,1644,4
973,982,880,663,1603,3
974,897,811,638,1713,2
975,966,987,799,1721,4
976,838,793,589,1573,2
977,996,918,761,1619,3
978,1006,1040,672,1524,4
979,882,803,541,1605,2
980,1035,838,697,1617,4
981,895,878,616,1601,3
982,1053,1040,852,1703,4
983,882,785,582,1574,2
984,1036,943,742,1596,4
985,876,800,609,1602,2
986,964,916,690,1599,3
987,935,961,675,1632,3
