,stature,weightkg,t_shirt_size
948,1616,750,3
949,1602,619,3
950,1667,675,3
951,1645,702,3
952,1670,659,3
953,1621,712,3
954,1721,1028,4
955,1606,759,4
956,1567,659,3
957,1720,644,2
958,1639,689,3
959,1730,863,4
960,1682,949,5
961,1720,630,2
962,1783,1069,5
963,1641,639,3
964,1568,683,3
965,1640,630,3
966,1556,718,3
967,1647,874,4
968,1630,752,3
969,1587,852,5
970,1627,827,5
971,1638,559,2
972,1644,821,4
973,1603,663,3
974,1713,638,2
975,1721,799,4
976,1573,589,2
977,1619,761,3
978,1524,672,4
979,1605,541,2
980,1617,697,4
981,1601,616,3
982,1703,852,4
983,1574,582,2
984,1596,742,4
985,1602,609,2
986,1599,690,3
987,1632,675,3
988,1660,886,4
989,1568,652,3
990,1639,826,4
991,1591,556,3
992,1628,719,3
993,1615,822,4
994,1680,965,4
995,1590,624,3
996,1563,435,1
997,1641,753,4
998,1710,553,2
999,1566,578,2
1000,1573,713,3
1001,1669,776,3
1002,1607,655,3
1003,1633,578,3
1004,1699,843,4
1005,1638,670,3
1006,1634,764,3
1007,1660,663,2
1008,1604,671,3
1009,1693,706,3
1010,1595,636,3
1011,1694,646,2
1012,1626,658,3
1013,1613,789,3
1014,1614,585,2
1015,1630,589,2
1016,1716,785,4
1017,1510,676,3
1018,1639,862,5
1019,1576,605,3
1020,1677,950,4
1021,1669,649,3
1022,1592,616,2
1023,1606,715,3
1024,1597,765,3
1025,1610,652,2
1026,1811,773,3
1027,1639,734,4
1028,1635,549,2
1029,1751,802,4
1030,1626,695,3
1031,1688,647,3
1032,1588,657,3
1033,1635,871,4
1034,1624,580,2
1035,1634,796,3
1036,1749,761,3
1037,1646,576,3
1038,1600,870,4
1039,1600,766,4
1040,1517,548,2
1041,1659,826,4
1042,1718,651,3
1043,1533,570,3
1044,1592,719,4
1045,1636,726,3
1046,1648,716,3
1047,1669,832,4
1048,1655,604,3
1049,1770,764,3
1050,1752,934,4
1051,1741,573,2
1052,1608,582,2
1053,1636,553,2
1054,1555,698,3
1055,1573,640,3
1056,1623,590,2
1057,1534,604,2
1058,1543,666,3
1059,1744,670,3
1060,1623,633,2
1061,1587,618,3
1062,1563,645,3
1063,1655,582,2
1064,1612,796,4
1065,1636,609,2
1066,1709,823,3
1067,1547,567,2
1068,1657,510,2
1069,1695,601,2
1070,1720,716,3
1071,1587,681,3
1072,1676,940,5
1073,1726,686,3
1074,1616,671,3
1075,1747,689,3
1076,1705,786,4
1077,1685,704,2
1078,1594,504,1
1079,1687,598,2
1080,1700,760,3
1081,1658,780,4
1082,1562,712,3
1083,1658,665,3
